Accession_Name	Description	Synonyms	Availability	Shape	Size	Height	Width	Ribbing	Ground_Colour	Over_Colour	Over_Colour_P	Crunch	Flesh_Colour	Flowering	Picking	Russet	Crown	Coarseness
Chorister Boy	Found in a garden in Wiltshire. First recorded in 1890. Introduced by Keynes, Williams & Co., Salisbury. Fruits are soft, juicy and slightly acid with very little flavour.		Material available from the National Fruit Collection.	Flat	medium			weak-medium	Green yellow	Red	streaked		Cream	7th May10% flowering, 12th MayFull (80%) flowering, 21st May90% petal fall	Early October			fine
Christie Manson	Availability		Material available from the National Fruit Collection.	Truncate conical	large	69.00	82.00		Green yellow	Orange			Cream	9th May10% flowering, 14th MayFull (80%) flowering, 23rd May90% petal fall	Mid September	very low		coarse
Christmas Pearmain	Raised by Mr Manser and first recorded in 1893. It was introduced by G. Bunyard & Co., Maidstone, Kent. Fruits are crisp and juicy with a pleasant aromatic flavour.	Bunyard's Christmas Pearmain	Material available from the National Fruit Collection.	Ellipsoid	medium	48.00	55.00	absent	Yellow	Brown	striped	crisp	Yellowish	30th April10% flowering, 5th MayFull (80%) flowering, 15th May90% petal fall	Early October	very low		fine
Chusenrainer	Found in about 1852 by Joh. Waller, growing wild in Chusenrain - Sempach, Switzerland. It was named in 1891 by R. Stalder of Meggen. Fruits have soft flesh with an insipid flavour.	Chusenrain, Pomme de Chuesenrain	Material available from the National Fruit Collection.	Flat	medium	44.00	62.00	weak	Green yellow	Orange	striped		White	13th May10% flowering, 19th MayFull (80%) flowering, 26th May90% petal fall	Mid October			
Cigany Alma	Availability		Material available from the National Fruit Collection.	Broad globose conical	large	62.57	76.14	weak-medium	Whitish yellow	Red		crisp	White	3rd May10% flowering, 8th MayFull (80%) flowering, 15th May90% petal fall	Mid October	low	weak	
Cinq Cotes (Lot)	Originated from France. Described in 1947. Fruits have firm, fine flesh with a subacid flavour.	Cinq Morceaux	Material available from the National Fruit Collection.	Truncate conical	medium	67.03	68.91	strong	Green yellow	Orange		crisp	White	11th May10% flowering, 16th MayFull (80%) flowering, 23rd May90% petal fall	Late October	low	strong	fine
Ciodo	Availability		Material available from the National Fruit Collection.	Flat globose	small-medium			weak-medium	Whitish yellow	Orange		crisp	White	8th May10% flowering, 12th MayFull (80%) flowering, 19th May90% petal fall	Late October	low	weak	coarse
Cissy	Raised between 1750 and 1800 by Mr Tamplin or Tampling of Malpas, Newport, Monmouthshire and distributed by his sister Cissy. It received an Award of Merit from the Royal Horticultural Society in 1902 as Tamplin. Fruits have firm, fine flesh with a slightly sweet, subacid flavour.	Cissy Apple, Monmouthshire Beauty, Tamplin, Tampling	Material available from the National Fruit Collection.	Oblong	medium	56.50	62.50	weak-medium	Green yellow	Red	striped		Greenish	5th May10% flowering, 10th MayFull (80%) flowering, 17th May90% petal fall	Early September			fine
Cistecke	Availability		Material available from the National Fruit Collection.	Globose	medium	53.42	66.18	weak-medium	Whitish yellow	Orange			White	3rd May10% flowering, 10th MayFull (80%) flowering, 17th May90% petal fall	Early October	very low	weak	fine
Citron d'Hiver (Swiss)	Originated from Valais, Switzerland. Described in 1925. Fruits have crisp flesh with a subacid flavour.	Welsch Nageliapfel, Winterzitrone	Material available from the National Fruit Collection.	Broad globose conical	medium	58.73	69.11	weak-medium	Yellow	Orange		crisp	Cream	10th May10% flowering, 15th MayFull (80%) flowering, 22nd May90% petal fall	Mid October	low	medium	
Clarinette	Availability		Material available from the National Fruit Collection.	Truncate conical	medium	55.50	62.50	medium	Whitish yellow	Pink	streaked		Greenish	5th May10% flowering, 10th MayFull (80%) flowering, 18th May90% petal fall	Early September			fine
Clark's Seedling	Thought to have originated in the UK. Recorded in 1936. Fruits have soft, coarse, creamy yellow flesh with a subacid flavour.	Clarke's Pippin, Royal George	Material available from the National Fruit Collection.	Flat globose	large	65.00	77.00		Yellow	Brown	striped		Yellowish	1st May10% flowering, 7th MayFull (80%) flowering, 14th May90% petal fall	Early October			
Clarke's Royal	A full red coloured clone of Cox's Orange Pippin. Originally selected in 1984 by Mr P. Clarke. Trees are more precocious than Cox and also less vigorous. Fruits are juicy and sweet with a rich, aromatic flavour.		Material available from the National Fruit Collection.	Globose conical	large	60.54	71.23	weak	Green yellow	Red			Yellowish	28th April10% flowering, 30th AprilFull (80%) flowering, 9th May90% petal fall	Late September	low	weak-medium	
Claygate Pearmain	Discovered by John Braddick at Claygate, Surrey and exhibited to the Horticultural Society in 1821. It received an Award of Merit in 1901 and a First Class Certificate in 1921 from the Royal Horticultural Society. Fruits have firm, rather coarse textured juicy flesh with a rich aromatic flavour.	Archerfield Pearmain, Bradley's Pearmain, Brown's Pippin, Claygate Parmaine, Claygate Parmane, Claygate Parmena, Claygate Pippin, Claygate-Parmaene., Claygate-Parmane, Deepdane Pearmain, Deepdene Pearmain, Doncaster Pearmain, Empress Eugenie, Formosa Nonpareil, Formosa Pippin, Fowler's Pippin, Mason's, Mason's Ribston Parmain, Mason's Ribston Pearmain, Parmane Claygate, Parmen Kleigatskii, Pearmain Claygate, Pearmain de Claygate, Pomme de Claygate, Ribston Pearmain, Summer Pearmain, Winter Pearmain	Material available from the National Fruit Collection.	Broad globose conical	medium	59.00	67.00	weak-medium	Green yellow	Orange	streaked	crisp	Cream	6th May10% flowering, 12th MayFull (80%) flowering, 20th May90% petal fall	Early October			
Clear Gold	A sport of Golden Delicious. Originated in Worley's Nursery, York Springs, PA, U.S.A. Fruits have fairly crisp, juicy flesh with a good flavour.		Material available from the National Fruit Collection.	Globose conical	medium			weak-medium	Yellow	n/a		crisp	Cream	14th May10% flowering, 18th MayFull (80%) flowering, 25th May90% petal fall	Late October	very low	medium	
Clearheart	Originated in Ireland. Described in 1951. Fruits have firm flesh with an acid flavour.		Material available from the National Fruit Collection.	Flat	large	57.94	74.36	medium	Yellow	Orange			White	16th May10% flowering, 22nd MayFull (80%) flowering, 29th May90% petal fall	Late September	low	medium	
Cleeve	Known to have been raised before 1930 by Sir Stanley Machin, from seed of an imported Canadian apple at Cleeve, Weybridge, Surrey. Fruits are crisp with a sweet, aromatic flavour.		Material available from the National Fruit Collection.	Flat	medium-large			weak-medium	Whitish yellow	Orange		crisp	Cream	27th April10% flowering, 3rd MayFull (80%) flowering, 12th May90% petal fall	Late August			
Clemens	Availability		Material available from the National Fruit Collection.	Flat globose	medium			medium	Green yellow	Brown			White	6th May10% flowering, 11th MayFull (80%) flowering, 18th May90% petal fall	Early October			
Climax	Acquired by the National Fruit Trials in 1921 from M. B. Crane, John Innes Institute, Merton, London. Fruits have very soft, mealy flesh with a slightly sweet flavour.		Material available from the National Fruit Collection.	Broad globose conical	medium-large	61.00	76.00	strong	Green yellow	Orange	streaked		Cream	6th May10% flowering, 11th MayFull (80%) flowering, 18th May90% petal fall	Early September			coarse
Clivia	Raised by Prof. M. Schmidt at the Agricultural Research Station, Munchenberg, Brandenburg, Germany. Introduced in 1961. Fruits have a flavour very like Cox's Orange Pippin.		Material available from the National Fruit Collection.	Globose conical	small-medium			weak	Yellow	Orange		crisp	Cream	1st May10% flowering, 6th MayFull (80%) flowering, 14th May90% petal fall	Late September	low	very weak	
Cloden	Raised at the Station de Recherches d'Arboriculture Fruitiere, Angers, France. Fruits are crisp and juicy.		Material available from the National Fruit Collection.	Globose conical	large	67.65	71.65	weak-medium	Yellow	Orange			White	4th May10% flowering, 6th MayFull (80%) flowering, 14th May90% petal fall	Late September	low	weak-medium	
Clopton Red	Raised in 1946 by Justin Brooke at Clopton Hall, Wickhambrook, Suffolk and introduced in 1961. Fruits have firm flesh with a sweet, rich flavour.		Material available from the National Fruit Collection.	Broad globose conical	small-medium			very weak	Green yellow	Orange			Cream	12th May10% flowering, 18th MayFull (80%) flowering, 25th May90% petal fall	Late September	low	absent	
Close	Triploid. Raised by C.S. Close at Arlington, Virginia, U.S.A. It was selected in about 1925 and introduced in 1938. Fruits have soft flesh with little juice and a sweet but poor flavour.		Material available from the National Fruit Collection.	Conical	large	72.50	75.00	medium	Green yellow	Red	striped		White	2nd May10% flowering, 6th MayFull (80%) flowering, 13th May90% petal fall	Early August			
Cludius Herbstapfel	Raised by Supt. Cludius of Hildesheim, Hannover, Germany. It was recorded in the 1850s. Fruits have a sweet, vinous flavour.	Claudius d'Automne, Claudius Fruher Spitz Apfel, Claudius Fruher Spitzapfel, Claudius Herbstapfel, Cludisza jesienne, Cludius d'Automne, Cludius Herbst, Cludius Herbst Apfel, Cludius Weisser Fruher Spitz Apfel, Cludius' d'Automne, Cludius' Herbstapfel, Cludius' Weisser Fruher Spitzapfel, Cludiusz, Cludyusz, d'Automne de Claudius, d'Automne de Cludius, Kludiusa osennee, Kludyusz, Pointue Blanche Precoce de Cludius, Pomme d'Automne de Cludius, Pomme Pointue Blanche Precoce de Cludius, Pomme Precoce Cludius d'Automne, Pomme-d'Automne de Cludius	Material available from the National Fruit Collection.	Broad globose conical	medium	57.61	66.63	medium	Whitish yellow	Orange		crisp	Cream	5th May10% flowering, 10th MayFull (80%) flowering, 18th May90% petal fall	Mid September	low	medium	fine
Clydeside	Availability		Material available from the National Fruit Collection.	Truncate conical	large	56.00	75.00	medium	Green yellow	Brown	striped		White	1st May10% flowering, 6th MayFull (80%) flowering, 15th May90% petal fall	Mid September	very low		medium-coarse
Cockett's Red	Synonyms:	Marguerite Henrietta, One Bite	Material available from the National Fruit Collection.	Flat globose	small-medium	41.00	51.00	weak-medium	Whitish yellow	Red			White	8th May10% flowering, 12th MayFull (80%) flowering, 18th May90% petal fall	Early October			fine
Cockle Pippin	Raised in about 1800 by Mr Cockle at Godstone, Surrey. Fruits have firm, fine-textured somewhat dry flesh with a sweet and pleasant flavour.	Brown Cockle, Brown Cockle Peppin, Brown Cockle Pippin, Cockle Pippin Brown, Cockle's Pippin, Cockles Pippin, Hahn's Pepping, Hahnen Peppin, Hahnen Pepping, Nutmeg Cockle, Nutmeg Cockle Pippin, Nutmeg Pippin, Pepping Hahnen, Pilot Russet, White Cockle, White Cockle Pippin	Material available from the National Fruit Collection.	Broad globose conical	medium-large			weak	Green yellow	Orange		crisp	White	6th May10% flowering, 11th MayFull (80%) flowering, 20th May90% petal fall	Mid October	low-medium		
Cockpit	Originated in Yorkshire. First recorded in 1831. Fruits have coarse flesh with a slightly acid, almost astringent flavour.	Summer Cockpit, Yorkshire Cockpit	Material available from the National Fruit Collection.	Flat globose	medium			weak-medium	Yellow	Orange			Cream	6th May10% flowering, 11th MayFull (80%) flowering, 17th May90% petal fall	Early October	very low		coarse
Coeur de Boeuf	An apple of French origin. Known since 1200s. Fruits have soft, greenish veined pink flesh with a sweet subacid, aromatic flavour.	Blut Apfel, Bruindeling, Caillot Rosat, Calville Coeur de Bocuf, Claudine de Provence, Cocur Boeuf, Couchine, Couchine de Caillot Rosat, Couchine de Provence, Couchine Rouge, de Boeuf, de Caillot Rosat, de Rouveau, de Rouviau, du Rouveau, Grosse Rouge, Grosse-Pomme Rouge, Ochsenherz, Paradis Rouge, Pomme de Boeuf, Rot Apfel, Rouveau, Sanguine, Sanguinole	Material available from the National Fruit Collection.	Flat globose	large	79.00	92.00	medium	Whitish yellow	Purple	streaked		Greenish	7th May10% flowering, 11th MayFull (80%) flowering, 19th May90% petal fall	Mid October			
Cola	An Italian variety known since the early 1900s. Fruits have firm, coarse flesh with a subacid flavour.		Material available from the National Fruit Collection.	Oblong	small-medium			strong	Whitish yellow	n/a		crisp	White	11th May10% flowering, 15th MayFull (80%) flowering, 24th May90% petal fall	Late October	very low	medium	coarse
Cola Gelata	Originated in the early 1900s in the Giarrita-Petralia region of Italy. Fruits have slightly dry flesh with a sweet subacid flavour.	Gelata Cola	Material available from the National Fruit Collection.	Conical	medium	69.49	60.48	weak-medium	Whitish yellow	n/a		crisp	White	7th May10% flowering, 12th MayFull (80%) flowering, 20th May90% petal fall	Early October	very low	weak	
Colapuy (Somme)	Said to have been brought to France from the Crimea by a soldier called Nicolas Puy in the mid 1800s. Fruits have firm, sweet flesh with a distinctive flavour.	Colapuis, Colapuits, Nicolas Puy	Material available from the National Fruit Collection.	Ellipsoid	medium-large			strong	Yellow	Dark Red	striped		White	9th May10% flowering, 15th MayFull (80%) flowering, 23rd May90% petal fall	Mid October			fine
Collins	Synonyms:	Apple of Commerce, Champion, Champion Red, Collins Red, Collins' Red, Commerce, Commercio, Coss Champion, Coss's Champion, Pomme du Commerce, Torgovoe	Material available from the National Fruit Collection.	Globose conical	medium	59.62	67.48	weak-medium	Whitish yellow	Red			Cream	6th May10% flowering, 12th MayFull (80%) flowering, 22nd May90% petal fall	Late October	low	weak-medium	
Colloget Pippin (M27)	Originated in Cornwall, England. First described in 1920. Fruits have firm, yellow flesh with an acid flavour.	Cloggett Pippin, Colloget Pippin, Cornish Giant, Lawry's Cornish Giant	Material available from the National Fruit Collection.	Broad globose conical	medium	50.22	62.52	medium	Whitish yellow	Orange			Yellowish	7th May10% flowering, 10th MayFull (80%) flowering, 17th May90% petal fall	Mid September	low	weak-medium	
Colonel Vaughan	Originated in Kent. It was known in the late 1600s. Fruits have firm, white, sometimes stained red flesh with a sweet to subacid flavour.	Amasa, Colonel Vaughan's, Colonel Vaughn's, Kentish Pippin, Pepping, Red Coachman, Red Kentish Pippin, Roter Kentische Peppin, Roter Kentischer Pepping, Scarlet Incomparable, Vaughan's Pippin, Vaughn's Pippin, Vaun's Pippin	Material available from the National Fruit Collection.	Ellipsoid	medium	60.00	55.00	weak-medium	Yellow	Red	striped		White	5th May10% flowering, 11th MayFull (80%) flowering, 18th May90% petal fall	Early October			
Colonel Yate	Raised in 1905 probably by W.H. Divers, Surbiton, Surrey. Fruits have firm, fine flesh with a subacid flavour.		Material available from the National Fruit Collection.	Flat	large	75.00	95.00	strong	Green yellow	Red	striped		Greenish	7th May10% flowering, 12th MayFull (80%) flowering, 19th May90% petal fall	Mid October			fine
Colwall Quoining	Availability		Material available from the National Fruit Collection.	Flat	medium			medium	Green yellow	Orange		crisp	Cream	10th May10% flowering, 15th MayFull (80%) flowering, 24th May90% petal fall	Late September	very low		coarse
Comrade	Thought to have been raised by George Carpenter, Byfleet, Surrey, England. Received by the National Fruit Trials in 1932. Fruits have coarse, soft flesh with a sweet to subacid flavour.		Material available from the National Fruit Collection.	Truncate conical	large	67.00	87.00	very weak	Yellow	Red	striped		Cream	3rd May10% flowering, 9th MayFull (80%) flowering, 15th May90% petal fall	Early September			coarse
Contessa	Availability		Material available from the National Fruit Collection.	Globose	large			strong-very strong	Green yellow	Brown			Cream	6th May10% flowering, 11th MayFull (80%) flowering, 19th May90% petal fall	Early September	low	strong	coarse
Coo's River Beauty	Synonyms:	Coos River Beauty	Material available from the National Fruit Collection.	Flat globose	large			weak-medium	Whitish yellow	Red		crisp	White	5th May10% flowering, 11th MayFull (80%) flowering, 19th May90% petal fall	Early October	low-medium	weak	
Cooper's Seedling	Originated from Kent. Known to have been in existence in 1946. Fruits have rather soft flesh.		Material available from the National Fruit Collection.	Globose conical	large-very large	82.80	90.95	strong	Yellow	Orange			White	27th April10% flowering, 30th AprilFull (80%) flowering, 9th May90% petal fall	Early September	very low	strong	coarse
Coquette	Synonyms:	Blanche d'Espagne	Material available from the National Fruit Collection.	Truncate conical	medium	50.00	69.00	medium	Green yellow	Pink			White	6th May10% flowering, 11th MayFull (80%) flowering, 20th May90% petal fall	Late October			
Coquette d'Auvergne	Availability		Material available from the National Fruit Collection.	Truncate conical	medium-large	56.00	68.50	medium	Green yellow	Dark Red	striped		Cream	10th May10% flowering, 16th MayFull (80%) flowering, 24th May90% petal fall	Mid October			coarse
Cornish Aromatic	Originally found growing in Cornwall. It was brought to notice in 1813 but thought to be many centuries old. Fruits have firm, rather dry flesh with a rich, aromatic flavour.	Aromatic, Aromatic Pippin, Aromatic Russet, Aromatique de Cornouailles, Cornwalliser Gewurzapfel, Siberian Russet	Material available from the National Fruit Collection.	Broad globose conical	medium-large	57.50	66.50	medium	Yellow	Orange	striped	crisp	Cream	9th May10% flowering, 15th MayFull (80%) flowering, 22nd May90% petal fall	Mid October	very low		fine
Cornish Gilliflower	Found in a cottage garden near Truro, Cornwall. It was introduced by Sir Christopher Hawkins in 1813. Fruits have firm, rather dry flesh with a sweet and rich aromatic flavour.	Calleville d'Angleterre, Calville d'Angleterre, Cornish Giliflower, Cornish Gillyflower, Cornish Juli Flower, Cornish July flower, Cornish Julyflower, Cornwalliser Nelken, Cornwalliser Nelken Apfel, Cornwalliser Nelkenapfel, Cornwallisser, Gilliflower, Julie Flomer, July Flomer, July Flower, July-Flower, Julyflower, Kalvil angliiskii, Nelken Apfel, Nelken-Apfel, Pomme Regelans, Red Gilliflower, Regalans	Material available from the National Fruit Collection.	Conical	medium-large	65.00	70.00	medium	Green yellow	Red			Yellowish	7th May10% flowering, 12th MayFull (80%) flowering, 18th May90% petal fall	Mid October			
Cornish Honeypin	Availability		Material available from the National Fruit Collection.	Broad globose conical	small-medium			weak-medium	Yellow	n/a			Cream	5th May10% flowering, 10th MayFull (80%) flowering, 16th May90% petal fall	Early September	low	weak-medium	coarse
Cornish Pine	Thought to be a seedling of Cornish Gilliflower. It was raised at Exminster, Devon. First described in 1920. Fruits have soft, coarse flesh with a sweet, slightly subacid flavour.	Hillesdon Beauty, Red Ribbed Greening	Material available from the National Fruit Collection.	Conical	medium-large	69.50	77.00	medium-strong	Green yellow	Orange	streaked		Cream	8th May10% flowering, 12th MayFull (80%) flowering, 20th May90% petal fall	Early October	low		coarse
Coronation	Raised at Buxted Park, Sussex by H.C. Princep and introduced by Pyne, Topsham, Devon. First recorded in 1902. It received an Award of Merit from the Royal Horticultural Society in 1902 as Edward's Coronation. Fruits have soft, coarse flesh with a sweet, aromatic flavour.	Edward's Coronation	Material available from the National Fruit Collection.	Broad globose conical	medium	59.00	71.50	absent	Yellow	Orange	streaked		Yellowish	9th May10% flowering, 13th MayFull (80%) flowering, 20th May90% petal fall	Mid September	low		coarse
Corry's Wonder	Raised in 1917 at Eynsham, Oxford by E. Corry Hanks. Fruits have soft flesh with a sweet but acid flavour.		Material available from the National Fruit Collection.	Broad globose conical	large	62.50	81.50	very weak	Green yellow	Brown	streaked		Greenish	8th May10% flowering, 14th MayFull (80%) flowering, 22nd May90% petal fall	Late October	very low		
Cortland (LA 72A)	Raised in 1898 by S.A. Beach at New York State Agricultural Experiment Station, Geneva, USA. Fruits have moderately juicy, slightly coarse-textured flesh with a sweet, refreshing flavour. Skin is tough.	Cartland, Courtland, Courtlandt	Material available from the National Fruit Collection.	Broad globose conical	large	59.00	75.00	weak-medium	Green yellow	Red	striped			4th May10% flowering, 9th MayFull (80%) flowering, 16th May90% petal fall	Early October	very low		
Cottenham Seedling	Raised by Robert Norman at Cottenham, Cambridgeshire, England and introduced by H.J. Gautrey. It was received by the National Fruit Trials in 1924. Fruits have firm, coarse-textured, juicy flesh which is distinctly acid.		Material available from the National Fruit Collection.	Flat globose	large	67.00	74.50	medium	Green yellow	Orange			Cream	15th May10% flowering, 20th MayFull (80%) flowering, 28th May90% petal fall	Mid October			fine
Coul Blush	Raised by Sir George Mackenzie, Coul, Ross-shire, Scotland. It first fruited in 1827. Fruits have fine, soft flesh which is slightly sweet and slightly subacid.	Coral Blush	Material available from the National Fruit Collection.	Broad globose conical	medium	53.00	65.50	weak-medium	Yellow	Orange	streaked		White	1st May10% flowering, 7th MayFull (80%) flowering, 13th May90% petal fall	Early September	very low		fine
Court of Wick	Originated at Court of Wick, Yatton, Somerset and introduced in 1790 by Wood of Huntingdon. Fruits are crisp with a rich and subacid flavour.	Anis Seed, Anise Seed, Aniseed, Barlow, Court de Wick, Court of Wick Pippin, Court of Wyck, Fry' Kingswick, Kingswick Pippin, Knightwich Pippin, Knightwick, Knightwick Pippin, Pepping van Court of Wick, Pepping von Court of Wick, Philip's Reinette, Phillip's Reinette, Phillips' Reinette, Phillips's Reinette, Rendell's Pippin, Richlieu Pearmain, Rival Golden Pippin, Transparent Pippin, Week's Pippin, Weeks' Pippin, Weeks's Pippin, Wick Pippin, Wick's Pippin, Wood's Huntingdon, Wood's Huntington, Wood's New Transparent, Wood's Transparent, Wood's Transparent Pippin, Woods Huntingdon, Yellow, Yellow Pippin	Material available from the National Fruit Collection.	Globose conical	medium	53.88	61.22	very weak	Yellow	Orange		crisp	Yellowish	9th May10% flowering, 14th MayFull (80%) flowering, 21st May90% petal fall	Late September	low	weak	
Court Pendu Plat	This variety originated in Europe. It was first described in about 1613 but believed to be much older than this. It was also called 'Wise Apple' because it flowers late and escapes spring frost damage. Fruits have very firm, fine-textured, juicy flesh which is sweet with a pleasant, slightly aromatic flavour.	Belgischer Kurzstiel, Belin, Belle de Senart, Capendu, Carpendola reale, Corianda Rose, Coriander Rose, Coriandra Rose, Coriandre Rose, Cortipendola regale, Cour Pendu Plat, Cour-Pendu Extra, Cour-Pendu Musque, Cour-Pendu Rond Gros, Cour-Pendu Rouge Musque, Courpandu Vermeil, Courpendu, Courpendu Musque, Courpendu Plat, Courpendu Reinette, Courpendu Rosat, Courpendu Rose, Courpendu Rouge, Courpendu Rouge Musque, Courpendu Vermeil, Court Pendu, Court Pendu Extra, Court Pendu Musque, Court Pendu Musquee, Court Pendu Plat Rougeatre, Court Pendu Reinette, Court Pendu Rond Gros, Court Pendu Rond Tres Gros, Court Pendu Rosat, Court Pendu Rose, Court Pendu Rouge Musque, Court Pendu Rouge Royal, Court Pendu Rouge Royale, Court Pendu Rougeatre, Court Pendu Royal, Court Pendu Vermeil, Court Queue, Court-Pendu, Court-Pendu Dur, Court-Pendu Extra, Court-Pendu Musque, Court-Pendu Musquee, Court-Pendu Plat, Court-Pendu Plat Musque, Court-Pendu Plat Rougeatre, Court-Pendu Reinette, Court-Pendu Rond Gros, Court-Pendu Rond Rougeatre, Court-Pendu Rond Tres Gros, Court-Pendu Rosaar, Court-Pendu Rosat, Court-Pendu Rose, Court-Pendu Rouge, Court-Pendu Rouge Musque, Court-Pendu Rouge Royale, Court-Pendu Royal, Court-Pendu Sanguin, Court-Pendu Vermeil, Court-Pendu-Plat, Court-Pendu-Rouge Musque, Court-Queue, Courte Queue, Courte-Queue, Courtpendu Plat, Courtpendu Rosaar, Courtpendu Rouge, Crops-Pendante, de Belin, de Berlin, de Bertin, de Garnon, de Spitzemberg, Der Rothe Kurzstiel, Garnon's, Garnon's Apple, Garnon's Pippin, Garnons, Garrnons, Garron's Apple, Gourte Queue, Gros Capendu rouge, Gros-Capendu rouge, Kasapgel, Kiralyi Kurtaszaru, Kongelig Kortistilk, Koniglicher Kurzstiel, Koniglicher Roter Kurzstiel, Konigs Kurzstiel, Korolevskaia Korotkonojka, Korotkonozhka korolevskaia, Korpendu Rode, Kratkostopka Kralovska, Kratkostopkar Kralovsky, Krolewska, Krotkonozka, Kurzstiel, Pomme de Belin, Pomme de Berlin, Pomme de Garnon, Pomme de Spitzemberg, Pomme de Spitzenberg, Pomme Pendante, Princess Noble Zoete, Princesse Noble Zoete, Prudente, Reinet van Goslinga, Reinetta de Portugal, Reinette Court-Pendu, Reinette Court-Pendu Rouge, Reinette Courtpendu Rouge, Reinette de Belges, Reinette de Capendu, Reinette de Hongrie, Reinette de Portugal, Reinette Plate d'Hiver, Reinette Rose, Reinette van Goslinga, Reneta Krotkonozka, Rienette de la Russie Temperee, Rod Kortstilk, Rode Korpendu, Rosenfarbiger Kurzstiel, Roter Kurzstiel, Rothe Kurzstiel, Rother Kurzstiel, Royal Court-Pendu, Russian, Russian Apple, Spitzemberg, The Courtpendu Apple, Turtit cu coata scurta, Tyvestrup, Veuve Leroy, Wallaton Pippin, Wise Apple, Wize, Wollaton Pippin, Woolaton Pippin, Woollaton Pippin, Zlatnatko Kralovske, Zlatousek Kratkostopkaty	Material available from the National Fruit Collection.	Flat	medium	47.86	64.62	weak	Green yellow	Orange		crisp	Yellowish	20th May10% flowering, 26th MayFull (80%) flowering, 4th June90% petal fall	Mid October	low	weak-medium	
Courtagold	A spur type clone of Golden Delicious. Fruits are sweet, crisp and juicy.		Material in the National Fruit Collection not currently available.											28th April10% flowering, 1st MayFull (80%) flowering, 11th May90% petal fall	late october			
Cox La Vera	A clone of Cox's Orange Pippin.		Material in the National Fruit Collection not currently available.	Globose conical	medium			weak-medium	Green yellow	Red				""		low-medium	weak	
Cox's Early Export	Raised by Ivorys Ltd., at Rangiora, New Zealand. Received by the National Fruit Trials in 1950. Fruits are crisp with a subacid flavour.		Material available from the National Fruit Collection.	Truncate conical	medium	52.00	60.00	medium	Green yellow	Red	striped	medium-crisp	Greenish	4th May10% flowering, 9th MayFull (80%) flowering, 16th May90% petal fall	Late August	very low		coarse
Cox's Orange Pippin (HTC)	A more highly coloured sport of Cox's Orange Pippin. Discovered in the late 40's early 50's by Dr G. Heem at the Centre Fruitier des Flandres, Herzeele, near Dunkerque, France. Fruits are juicy and sweet with a rich, aromatic, nutty flavour.	Rouge des Flandres	Material available from the National Fruit Collection.											5th May10% flowering, 9th MayFull (80%) flowering, 15th May90% petal fall	late september			
Cox's Orange Pippin (LA 62D)	Raised in about 1825 by Richard Cox at Colnbrook Lawn, Slough, Buckinghamshire and introduced by Charles Turner in about 1850. It received a First Class Certificate from the Royal Horticultural Society in 1962. Fruits are juicy and sweet with a rich, aromatic, nutty flavour.	Apelsinnyi renet, Aranciata di Cox, Cos Orange, Cox, Cox Narancs Renet, Cox Orange, Cox Orange Pippin, Cox Orangen Pippin, Cox Orangen Reinette, Cox Orangen Renette, Cox' Orangen, Cox' Orangen-renette, Cox's Orange, Cox's Orange Pepping, Cox's Orange Reinette, Cox's Orange-Peppin, Cox's Orange-Pippeling, Cox's Orangen Pippin, Cox's Orangen Reinette, Cox's Orangen-Reinette, Cox's Pomeranzen Pepping, Cox's Pomeranzen-pepping, Coxova Reneta, Kemp's Orange, Kempe's Orange, Koksa Pomaranczowa, Koksova oranjeva reneta, Orange de Cox, Oranjevii renet, Peppeling Cox Orange, Pomaranczowe Coxa, Reinette Cox's Orangen, Reinette Orange, Reinette Orange de Cox, Renet Coksa, Renet Cox Portocaliu, Renet Coxa, Renet Portocaliu, Reneta Coxa pomaranzowa, Russet Pippin, Verbesserte Muscat Reinette, Verbesserte Muscat-Reinette	Material available from the National Fruit Collection.	Truncate conical	medium	56.00	62.00	absent	Yellow	Brown	striped	crisp	Yellowish	8th May10% flowering, 13th MayFull (80%) flowering, 20th May90% petal fall	Late September		weak	
Cox's Orange Pippin (LA 62D)	Raised in about 1825 by Richard Cox at Colnbrook Lawn, Slough, Buckinghamshire and introduced by Charles Turner in about 1850. It received a First Class Certificate from the Royal Horticultural Society in 1962. Fruits are juicy and sweet with a rich, aromatic, nutty flavour.	Apelsinnyi renet, Aranciata di Cox, Cos Orange, Cox, Cox Narancs Renet, Cox Orange, Cox Orange Pippin, Cox Orangen Pippin, Cox Orangen Reinette, Cox Orangen Renette, Cox' Orangen, Cox' Orangen-renette, Cox's Orange, Cox's Orange Pepping, Cox's Orange Reinette, Cox's Orange-Peppin, Cox's Orange-Pippeling, Cox's Orangen Pippin, Cox's Orangen Reinette, Cox's Orangen-Reinette, Cox's Pomeranzen Pepping, Cox's Pomeranzen-pepping, Coxova Reneta, Kemp's Orange, Kempe's Orange, Koksa Pomaranczowa, Koksova oranjeva reneta, Orange de Cox, Oranjevii renet, Peppeling Cox Orange, Pomaranczowe Coxa, Reinette Cox's Orangen, Reinette Orange, Reinette Orange de Cox, Renet Coksa, Renet Cox Portocaliu, Renet Coxa, Renet Portocaliu, Reneta Coxa pomaranzowa, Russet Pippin, Verbesserte Muscat Reinette, Verbesserte Muscat-Reinette	Material available from the National Fruit Collection.	Globose conical	medium	56.00	62.00	absent	Green yellow	Brown	striped	crisp	Yellowish	8th May10% flowering, 13th MayFull (80%) flowering, 20th May90% petal fall	Late September		weak	
